Stastics for ICV command estimator.  Version 7
Master: SUSE.64 Release J-2014.06.SP2.HF1.4116 2014/09/29 
Run date: 2015-03-31
Turbo=lite
DMEM: 2191 1962 8 7356160:212087000 0:0 3464412:3464412 0:0 3464412:3464412 3464412:3464412 3464412:3464412 1:1:0:1 _create_layer_dp
DMEM: 2199 1962 8 7356160:212087000 0:0 3464412:3464412 0:0 3464412:3464412 3464412:3464412 3464412:3464412 1:1:0:1 _create_layer_dp
DMEM: 2207 1962 8 7356160:212087000 0:0 2463854:2463854 0:0 2463854:2463854 2463854:2463854 2463854:2463854 1:1:0:1 _create_layer_dp
DMEM: 2215 1962 8 7356160:212087000 0:0 2463854:2463854 0:0 2463854:2463854 2463854:2463854 2463854:2463854 1:1:0:1 _create_layer_dp
DMEM: 2221 1962 8 7356160:212087000 0:0 566362:566362 0:0 566362:566362 566362:566362 566362:566362 1:1:0:1 _create_layer_dp
DMEM: 2229 1962 8 7356160:212087000 0:0 566362:566362 0:0 566362:566362 566362:566362 566362:566362 1:1:0:1 _create_layer_dp
DMEM: 2237 1962 8 7356160:212087000 0:0 370338:370338 0:0 370338:370338 370338:370338 370338:370338 1:1:0:1 _create_layer_dp
DMEM: 2245 1962 8 7356160:212087000 0:0 370338:370338 0:0 370338:370338 370338:370338 370338:370338 1:1:0:1 _create_layer_dp
DMEM: 2253 1962 8 7356160:212087000 0:0 157621:157621 0:0 157621:157621 157621:157621 157621:157621 1:1:0:1 _create_layer_dp
DMEM: 2261 1962 8 7356160:212087000 0:0 157621:157621 0:0 157621:157621 157621:157621 157621:157621 1:1:0:1 _create_layer_dp
DMEM: 2269 1962 8 7356160:212087000 0:0 150907:150907 0:0 150907:150907 150907:150907 150907:150907 1:1:0:1 _create_layer_dp
DMEM: 2277 1962 8 7356160:212087000 0:0 150907:150907 0:0 150907:150907 150907:150907 150907:150907 1:1:0:1 _create_layer_dp
DMEM: 2285 1962 8 7356160:212087000 0:0 97632:97632 0:0 97632:97632 97632:97632 97632:97632 1:1:0:1 _create_layer_dp
DMEM: 2293 1962 8 7356160:212087000 0:0 97632:97632 0:0 97632:97632 97632:97632 97632:97632 1:1:0:1 _create_layer_dp
DMEM: 2299 1962 8 7356160:212087000 0:0 62154:62154 0:0 62154:62154 62154:62154 62154:62154 1:1:0:1 _create_layer_dp
DMEM: 2307 1962 8 7356160:212087000 0:0 10412:10412 0:0 10412:10412 10412:10412 10412:10412 1:1:0:1 _create_layer_dp
DMEM: 2315 1962 8 7356160:212087000 0:0 1340:1340 0:0 1340:1340 1340:1340 1340:1340 1:1:0:1 _create_layer_dp
DMEM: 2321 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2325 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2329 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2333 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2337 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2341 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2345 1962 8 7356160:212087000 0:0 29217:29217 0:0 26588:26588 29217:29217 26588:26588 1:1:0:1 _create_layer_dp
DMEM: 2353 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2357 1962 8 7356160:212087000 0:0 2180:2180 0:0 2180:2180 2180:2180 2180:2180 1:1:0:1 _create_layer_dp
DMEM: 2365 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2369 1962 8 7356160:212087000 0:0 658:658 0:0 658:658 658:658 658:658 1:1:0:1 _create_layer_dp
DMEM: 2377 1962 8 7356160:212087000 0:0 641:641 0:0 641:641 641:641 641:641 1:1:0:1 _create_layer_dp
DMEM: 2385 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2389 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2393 1962 8 7356160:212087000 0:0 838:838 0:0 838:838 838:838 838:838 1:1:0:1 _create_layer_dp
DMEM: 2401 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2403 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2407 1962 8 7356160:212087000 0:0 24591:24591 0:0 22746:22746 24591:24591 22746:22746 1:1:0:1 _create_layer_dp
DMEM: 2415 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2419 1962 8 7356160:212087000 0:0 65093:65093 0:0 65093:65093 65093:65093 65093:65093 1:1:0:1 _create_layer_dp
DMEM: 2427 1962 8 7356160:212087000 0:0 2172:2172 0:0 2172:2172 2172:2172 2172:2172 1:1:0:1 _create_layer_dp
DMEM: 2433 1962 8 7356160:212087000 0:0 26514:26514 0:0 26514:26514 26514:26514 26514:26514 1:1:0:1 _create_layer_dp
DMEM: 2441 1962 8 7356160:212087000 0:0 205:205 0:0 205:205 205:205 205:205 1:1:0:1 _create_layer_dp
DMEM: 2449 1962 8 7356160:212087000 0:0 680:680 0:0 680:680 680:680 680:680 1:1:0:1 _create_layer_dp
DMEM: 2457 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2461 1962 8 7356160:212087000 0:0 239:239 0:0 239:239 239:239 239:239 1:1:0:1 _create_layer_dp
DMEM: 2469 1962 8 7356160:212087000 0:0 294:294 0:0 294:294 294:294 294:294 1:1:0:1 _create_layer_dp
DMEM: 2477 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2481 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2485 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2489 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2493 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2495 1962 8 7356160:212087000 0:0 12575:12575 0:0 12575:12575 12575:12575 12575:12575 1:1:0:1 _create_layer_dp
DMEM: 2503 1962 8 7356160:212087000 0:0 3069:3069 0:0 3069:3069 3069:3069 3069:3069 1:1:0:1 _create_layer_dp
DMEM: 2511 1962 8 7356160:212087000 0:0 7:7 0:0 7:7 7:7 7:7 1:1:0:1 _create_layer_dp
DMEM: 2519 1962 8 7356160:212087000 0:0 5:5 0:0 5:5 5:5 5:5 1:1:0:1 _create_layer_dp
DMEM: 2527 1962 8 7356160:212087000 0:0 5:5 0:0 5:5 5:5 5:5 1:1:0:1 _create_layer_dp
DMEM: 2535 1962 8 7356160:212087000 0:0 6:6 0:0 6:6 6:6 6:6 1:1:0:1 _create_layer_dp
DMEM: 2543 1962 8 7356160:212087000 0:0 5:5 0:0 5:5 5:5 5:5 1:1:0:1 _create_layer_dp
DMEM: 2551 1962 8 7356160:212087000 0:0 6:6 0:0 6:6 6:6 6:6 1:1:0:1 _create_layer_dp
DMEM: 2559 1962 8 7356160:212087000 0:0 1:1 0:0 1:1 1:1 1:1 1:1:0:1 _create_layer_dp
DMEM: 2565 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2567 1962 8 7356160:212087000 0:0 268957:268957 0:0 268957:268957 268957:268957 268957:268957 1:1:0:1 _create_layer_dp
DMEM: 2575 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
