Metrics,apr_Cell_Count,apr_REG2REG_total_hold_viol,apr_REG2REG_total_neg_slack,apr_REG2REG_worst_hold_viol,apr_REG2REG_worst_setup_viol,apr_Utilization(post route),apr_clk_total_hold_viol,apr_clk_total_neg_slack,apr_clk_worst_hold_viol,apr_clk_worst_setup_viol,apr_max_cap_viols,apr_max_fanout_viols,apr_max_trans_viols,apr_post_cts_fall_skew,apr_post_cts_rise_skew,syn_Cell_Count,syn_REG2REG_total_neg_slack,syn_REG2REG_violating_path,syn_REG2REG_worst_setup_viol,syn_clk_total_neg_slack,syn_clk_violating_path,syn_clk_worst_setup_viol,syn_cpu_runtime,syn_max_cap_viols,syn_max_trans_viols,,drcc,STA,power ,power leakage
/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.6_c/tb_scan,333410,-0.001,0,-0.001,0.001,69.54,-0.001,0,-0.001,0.001,0,-25,0,,,74840,0,1,-0.2,0,0,272.8,6030.787,685.6,7660,,327,-145,113,1.3
/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.7_c/tb_jpeg_idct_pipe32_subsys_base_SCAN,,-0.004,0,-0.003,0,67.17,-0.004,0,-0.003,0,0,-21,0,,,75049,-1,4,-0.4,0,0,333.3,4188.918,97.2,1114,,4,-130,110,1.2
/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.6_c/tb_noscan/,,0,0,0.001,0.001,48.97,0,0,0.001,0.001,0,-35,0,,,71655,-3,3,-1.7,0,0,3.1,5828.447,785.3,9856,,260,-224,46,0.97
/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.7_c/tb_jpeg_idct_pipe32_subsys_base_NOSCAN,,-0.001,0,-0.001,0,48,-0.001,0,-0.001,0,0,-32,0,,,73202,-2,6,-1.1,0,0,309.1,4229.263,71.3,1017,,2,,39,1
