flow_name,cell_name,violation,comment,f_count,h_count,working_directory,input_lib_path,date 
NA,fdkex,NV2a_UV2_31,NV2a_UV2_31: Minimum space of NV2/PV2 layer 0.14,NA,1408,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,NV2b_UV2_31,NV2b_UV2_31: Minimum space of NV2/PV2 layer 0.14,NA,1408,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,NV3a_UV3_31,NV3a_UV3_31: Minimum space of NV3/PV3 layer 0.14,NA,2014,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PU1_UL1_31,PU1_UL1_31: Minimum space of NU1/PU1 layer 0.14,NA,1698,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV1a_UV1_31,PV1a_UV1_31: Minimum space of NV1/PV1 layer 0.14,NA,1911,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV1b_UV1_31,PV1b_UV1_31: Minimum space of NV1/PV1 layer 0.14,NA,1911,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV1c_UV1_31,PV1c_UV1_31: Minimum space of NV1/PV1 layer 0.14,NA,1911,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV1d_UV1_31,PV1d_UV1_31: Minimum space of NV1/PV1 layer 0.14,NA,1911,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV1e_UV1_31,PV1e_UV1_31: Minimum space of NV1/PV1 layer 0.14,NA,71,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV2a_UV2_31,PV2a_UV2_31: Minimum space of NV2/PV2 layer 0.14,NA,1395,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV2b_UV2_31,PV2b_UV2_31: Minimum space of NV2/PV2 layer 0.14,NA,1395,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,PV3a_UV3_31,PV3a_UV3_31: Minimum space of NV3/PV3 layer 0.14,NA,1911,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,V0_26,V0_26: Unrestricted min Via0 edge-to-edge space 0.08400000000000001,NA,1,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/drcd/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
